Sequences 100
stateIndex|stateFeatures|state|reward|actionIndex|greed
49|[0, 2, 0]|(0, 2)|-403|0|r
49|[0, 2, 0]|(0, 2)|-404|0|r
99|[1, 2, 0]|(1, 2)|-405|1|r
97|[1, 1, 0]|(1, 1)|-406|2|r
99|[1, 2, 0]|(1, 2)|-407|3|r
97|[1, 1, 0]|(1, 1)|-408|2|r
92|[2, 1, 0]|(2, 1)|-409|1|r
97|[1, 1, 0]|(1, 1)|-410|0|r
50|[0, 1, 0]|(0, 1)|-411|0|r
97|[1, 1, 0]|(1, 1)|-412|1|r
99|[1, 2, 0]|(1, 2)|-413|3|r
97|[1, 1, 0]|(1, 1)|-414|2|r
96|[1, 0, 0]|(1, 0)|-415|2|r
51|[0, 0, 1]|(0, 0)terminal1|-415|0|r
13|[5, 4, 0]|(5, 4)|-1|2|r
10|[5, 3, 0]|(5, 3)|-2|2|r
11|[4, 3, 0]|(4, 3)|-3|0|r
32|[3, 3, 0]|(3, 3)|-4|0|r
76|[3, 2, 0]|(3, 2)|-5|2|r
78|[4, 2, 0]|(4, 2)|-6|1|r
